Country;pts_count;pts_ppm;infants;children;adolescents;male;female;data;iso_a3;year
Spain, Valencia;29;41;32.8;34.6;55.9;54.9;26.2;Provided data via ERA-EDTA Registry;ES.VC;2007
Sweden;75;48.5;30.8;44.5;68.5;55.5;41.2;Provided data via ERA-EDTA Registry;SWE;2007
the Netherlands;131;44.4;18.8;45.6;68.2;52.4;36.1;Provided extended data to the ESPN Registry;NLD;2007
United Kingdom;553;51.6;23.4;46.7;83.4;61;41.1;Provided extended data to the ESPN Registry;GBR;2007
Turkey;;;;;;;;Provided extended data to the ESPN Registry;TUR;2007
Germany;;;;;;;;Intend to contribute data in the near future;DEU;2007
Belgium ;;;;;;;;Provided extended data to the ESPN Registry;BEL;2007
Switzerland;;;;;;;;Intend to contribute data in the near future;CHE;2007
Belarus;;;;;;;;Intend to contribute data in the near future;BLR;2007
Austria;54;39.5;17.7;38.4;57.9;47.2;31.5;Provided data via ERA-EDTA Registry;AUT;2008
Belarus;26;18.3;12.6;13.3;28.5;16.5;20.3;Provided extended data to the ESPN Registry;BLR;2008
Belgium;103;57.2;15;57.6;98.4;66.3;47.7;Provided extended data to the ESPN Registry;BEL;2008
Croatia;20;29.4;14.4;27.4;43.3;37.2;21.1;Provided extended data to the ESPN Registry;HRV;2008
Czech Republic;31;21;18.9;15.3;28.5;19.8;22.2;Provided extended data to the ESPN Registry;CZE;2008
Denmark;41;40.1;27.2;32.7;59;51.5;28.1;Provided extended data to the ESPN Registry;DNK;2008
Estonia;3;15;0;31.9;15.7;19.5;10.3;Provided extended data to the ESPN Registry;EST;2008
Finland;71;79.5;75;80.3;83.1;83.3;75.5;Provided extended data to the ESPN Registry;FIN;2008
France;360;30.4;10.9;27.5;53.5;37;23.6;Provided extended data to the ESPN Registry;FRA;2008
FYR of Macedonia;6;16;0;8.3;35.8;25.9;5.5;Provided extended data to the ESPN Registry;MKD;2008
Greece;49;30.5;12.7;25.2;53.7;35;25.7;Provided data via ERA-EDTA Registry;GRC;2008
Hungary;31;20.7;8.2;18.7;33.7;28.6;12.3;Provided limited data to the ESPN Registry;HUN;2008
