Country;pts_count;pts_ppm;infants;children;adolescents;male;female;data;iso_a3;year
Hungary;49;30.5;11.3;29.7;50.5;38.9;21.7;Provided extended data to the ESPN Registry;HUN;2013
Iceland;46;32.2;10.9;28.7;56.1;36.8;27.3;Provided extended data to the ESPN Registry;ISL;2013
Italy;269;32;13.6;32.7;47.4;37;25.5;Provided extended data to the ESPN Registry;ITA;2013
Lithuania;10;23.1;13.2;22.2;33.9;22.5;23.7;Provided extended data to the ESPN Registry;LTU;2013
Moldova;;;;;;;;Provided extended data to the ESPN Registry;MDA;2013
Malta;4;65.3;0;51.2;142.7;63.6;67.1;Provided extended data to the ESPN Registry;MLT;2013
Norway;40;43.1;25.6;35.7;68.1;48.3;37.5;Provided extended data to the ESPN Registry;NOR;2013
Poland;236;41;16.9;39.6;68.9;43.7;32.5;Provided extended data to the ESPN Registry;POL;2013
Portugal;80;52.1;12.7;52.9;85;62.3;41.4;Provided extended data to the ESPN Registry;PRT;2013
Romania;30;29.2;12.1;31.8;42.7;28.4;30.1;Provided data via ERA-EDTA Registry;SRB;2013
Russia;47;15.1;9.2;11.3;24.2;16.2;13.9;Provided extended data to the ESPN Registry;ROU;2013
Serbia;336;15.6;6.4;14.5;27.9;18.5;12.6;Provided extended data to the ESPN Registry;RUS;2013
Slovakia;22;26.5;6.9;14.7;59.8;32.9;19.8;Provided extended data to the ESPN Registry;SVK;2013
Slovenia;9;30;27.1;20.6;43.7;45.4;13.8;Provided extended data to the ESPN Registry;SVN;2013
Spain;294;41.5;19.4;41.9;64.5;49.1;33.5;Provided extended data to the ESPN Registry;ESP;2013
Sweden;89;54.6;24.3;52.6;91.7;64.5;44.2;Provided data via ERA-EDTA Registry;SWE;2013
Switzerland;51;42.1;9.7;35.2;81.9;46.6;37.3;Provided extended data to the ESPN Registry;CHE;2013
the Netherlands;129;45;18.8;43.5;69.9;55.3;34.3;Provided extended data to the ESPN Registry;NLD;2013
Turkey;334;17.7;5.5;15.4;31.7;19.6;15.7;Provided extended data to the ESPN Registry;TUR;2013
Ukraine;;;;;;;;Provided limited data to the ESPN Registry;UKR;2013
United Kingdom;610;53.9;26.2;56.4;83;66;41.3;Provided extended data to the ESPN Registry;GBR;2013
Luxemburg;;;;;;;;Provided extended data to the ESPN Registry;LUX;2013
Ireland;;;;;;;;Intend to contribute data in the near future;IRL;2013
